[2026-06-09 23:27:58,731][INFO]: Deckyfin v1.0.0 loaded
[2026-06-09 23:28:18,489][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,567][INFO]: Found 74 non-Steam games for user 892854676
[2026-06-09 23:28:18,571][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,583][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,595][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,606][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,618][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,632][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,650][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,664][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,676][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,687][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,699][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,711][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,725][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,741][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,754][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,766][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,783][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,797][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,813][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,832][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,855][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,872][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,890][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:18,904][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:19,687][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,691][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,703][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,715][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,727][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,739][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,754][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,773][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,786][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,799][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,811][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,822][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,833][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,847][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,861][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,873][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,886][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,902][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,915][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,927][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,943][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,960][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,974][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:20,988][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:21,000][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:21,032][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:21,100][INFO]: Found 74 non-Steam games for user 892854676
[2026-06-09 23:28:22,760][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:26,633][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:28:26,633][INFO]: Initializing Proton prefix app_id=-1069797399 user_id=892854676 proton=GE-Proton10-25 reinit=True
[2026-06-09 23:28:26,641][INFO]: Updated compat.vdf for app_id=-1069797399 user_id=892854676
[2026-06-09 23:28:26,720][INFO]: Updated local config for user=892854676 app=-1069797399
[2026-06-09 23:28:26,796][INFO]: Updated global config for app 3225169897 proton=GE-Proton10-25
[2026-06-09 23:28:26,796][INFO]: Set Proton version for app_id=-1069797399 unsigned=3225169897 to GE-Proton10-25 (user=892854676)
[2026-06-09 23:28:27,327][INFO]: Removed existing prefix at /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-09 23:28:36,433][INFO]: Prefix initialized successfully at /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-09 23:28:36,458][INFO]: Fixed prefix ownership to deck for /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-09 23:28:38,249][INFO]: Updated game config 'Clair Obscur - Expedition 33' with {'processing_state': {'status': 'installing', 'deps': ['vcrun2022', 'd3dx9'], 'pfxid': '3225169897'}}
[2026-06-09 23:28:38,268][INFO]: Selected Proton: GE-Proton10-34 (/home/deck/.local/share/Steam/compatibilitytools.d/GE-Proton10-34/files/bin/wine64, /home/deck/.local/share/Steam/compatibilitytools.d/GE-Proton10-34/files/bin/wineserver)
[2026-06-09 23:28:38,313][INFO]: Trying flatpak protontricks for vcrun2022 in prefix 3225169897
[2026-06-09 23:29:03,805][INFO]: Installed vcrun2022 in prefix 3225169897 (flatpak protontricks)
[2026-06-09 23:29:03,828][INFO]: Fixed prefix ownership to deck for /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-09 23:29:03,856][INFO]: Trying flatpak protontricks for d3dx9 in prefix 3225169897
[2026-06-09 23:29:34,263][INFO]: Installed d3dx9 in prefix 3225169897 (flatpak protontricks)
[2026-06-09 23:29:34,286][INFO]: Fixed prefix ownership to deck for /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-09 23:29:34,289][INFO]: Updated game config 'Clair Obscur - Expedition 33' with {'processing_state': None}
[2026-06-09 23:30:10,669][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,741][INFO]: Found 74 non-Steam games for user 892854676
[2026-06-09 23:30:10,745][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,760][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,776][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,792][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,807][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,822][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,844][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,860][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,877][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,892][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,907][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,921][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,939][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,958][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,974][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:10,989][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:11,010][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:11,026][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:11,043][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:11,062][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:11,086][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:11,105][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:11,125][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:11,141][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:13,417][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:16,338][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:16,354][INFO]: Removed non-Steam game 'Clair Obscur - Expedition 33' from shortcuts
[2026-06-09 23:30:16,355][INFO]: Purged compat.vdf entry for app_id=-1069797399
[2026-06-09 23:30:16,396][INFO]: Purged user config CompatToolMapping for app=13851999231692242944
[2026-06-09 23:30:16,438][INFO]: Purged global config CompatToolMapping for app=3225169897
[2026-06-09 23:30:16,753][INFO]: Removed prefix at /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-09 23:30:16,756][INFO]: Purged all Steam data for 'Clair Obscur - Expedition 33' (unsigned_appid=3225169897): shortcut=True compat=True local=True global=True prefix=True grid=False
[2026-06-09 23:30:19,594][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,603][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,613][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,621][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,628][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,636][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,646][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,653][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,659][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,665][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,672][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,677][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,684][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,692][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,699][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,705][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,714][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,720][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,727][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,735][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,745][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,752][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,760][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,767][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,786][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:19,822][INFO]: Found 73 non-Steam games for user 892854676
[2026-06-09 23:30:20,387][INFO]: No gamescope found — using -bigpicture
[2026-06-09 23:30:20,387][INFO]: Detected Steam mode flags: ['-bigpicture']  display_env keys: ['XDG_SESSION_TYPE', 'XAUTHORITY', 'HOME', 'USER', 'DISPLAY', 'XDG_RUNTIME_DIR', 'DBUS_SESSION_BUS_ADDRESS']
[2026-06-09 23:30:20,387][INFO]: Killed Steam process pid=458648 name=srt-logger
[2026-06-09 23:30:20,388][INFO]: Killed Steam process pid=458676 name=steam
[2026-06-09 23:30:20,388][INFO]: Killed Steam process pid=458799 name=steam-runtime-launcher-service
[2026-06-09 23:30:20,388][INFO]: Killed Steam process pid=465852 name=srt-bwrap
[2026-06-09 23:30:20,388][INFO]: Killed Steam process pid=465861 name=srt-logger
[2026-06-09 23:30:20,389][INFO]: Killed Steam process pid=465961 name=steamwebhelper
[2026-06-09 23:30:20,389][INFO]: Killed Steam process pid=465964 name=steamwebhelper
[2026-06-09 23:30:20,390][INFO]: Killed Steam process pid=465969 name=steamwebhelper
[2026-06-09 23:30:20,390][INFO]: Killed Steam process pid=465970 name=steamwebhelper
[2026-06-09 23:30:20,390][INFO]: Killed Steam process pid=465972 name=steamwebhelper
[2026-06-09 23:30:20,390][INFO]: Killed Steam process pid=465990 name=steamwebhelper
[2026-06-09 23:30:20,391][INFO]: Killed Steam process pid=466030 name=steamwebhelper
[2026-06-09 23:30:20,391][INFO]: Killed Steam process pid=466031 name=steamwebhelper
[2026-06-09 23:30:20,391][INFO]: Killed Steam process pid=466055 name=steamwebhelper
[2026-06-09 23:30:20,391][INFO]: Killed Steam process pid=466127 name=steamwebhelper
[2026-06-09 23:30:22,393][INFO]: Steam relaunch: machinectl shell
[2026-06-09 23:30:23,393][INFO]: Steam relaunch output (if any): check /tmp/deckyfin_steam_launch.log
[2026-06-09 23:30:23,393][INFO]: Steam restarted successfully with flags: ['-bigpicture']
[2026-06-09 23:30:58,633][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,719][INFO]: Found 73 non-Steam games for user 892854676
[2026-06-09 23:30:58,723][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,738][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,753][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,767][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,779][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,796][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,817][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,833][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,848][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,862][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,877][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,892][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,911][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,929][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,945][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,958][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,978][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,993][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,007][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,026][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,050][INFO]: Auto-detected logged in Steam user 892854676
